=新闻=,#genre#
TVBS,http://96.44.160.246:9999/smt.php?id=tvbs
TVBS新闻,http://96.44.160.246:9999/smt.php?id=tvbs_n
东森新闻,http://96.44.160.246:9999/smt.php?id=ettvnews
东森财经,http://96.44.160.246:9999/smt.php?id=ettvcaijing_twn
非凡新闻,http://96.44.160.246:9999/smt.php?id=feifannews_twn
寰宇新闻,http://96.44.160.246:9999/smt.php?id=huanyuxinwen_twn
民视新闻,http://96.44.160.246:9999/smt.php?id=ftvnew_taiwan
年代新闻,http://96.44.160.246:9999/smt.php?id=niandainews_twn
台视新闻,http://96.44.160.246:9999/smt.php?id=ttvnews_twn
中视新闻,http://96.44.160.246:9999/smt.php?id=zhongshinews_twn
中天新闻,http://96.44.160.246:9999/smt.php?id=ctinews
中天亚洲,http://96.44.160.246:9999/smt.php?id=ctiasia_twn
ABC News,http://96.44.160.246:9999/smt.php?id=abcnews_glo
Al Jazeera,http://96.44.160.246:9999/smt.php?id=aljazeera_twn
BBC World News,http://96.44.160.246:9999/smt.php?id=Bbcnews
BBC World News,http://96.44.160.246:9999/smt.php?id=bbcnews_twn
BBC World News,http://96.44.160.246:9999/smt.php?id=bbcworldnews_antik
Bloomberg,http://96.44.160.246:9999/smt.php?id=bloomberg_twn
CBSN,http://96.44.160.246:9999/smt.php?id=cbshd_glo
CBSN,http://96.44.160.246:9999/smt.php?id=cbsn_glo
CNA,http://96.44.160.246:9999/smt.php?id=cna
CNA,http://96.44.160.246:9999/smt.php?id=cna_twn
CNBC,http://96.44.160.246:9999/smt.php?id=cnbc_twn
CNN,http://96.44.160.246:9999/smt.php?id=Cnn
CNN,http://96.44.160.246:9999/smt.php?id=cnn_twn
DW (Deutsch),http://96.44.160.246:9999/smt.php?id=dw_twn
Euronews,http://96.44.160.246:9999/smt.php?id=euronews_antik
Fox News,http://96.44.160.246:9999/smt.php?id=foxnews_twn
France 24,http://96.44.160.246:9999/smt.php?id=france24_twn
Skynews,http://96.44.160.246:9999/smt.php?id=skynews_antik
Arirang,http://96.44.160.246:9999/smt.php?id=arirang_twn
NHK World,http://96.44.160.246:9999/smt.php?id=nhkworld_japan


=英国=,#genre#
Animal Planet,http://96.44.160.246:9999/smt.php?id=AnimalPlanet
AXN,http://96.44.160.246:9999/smt.php?id=Axn
BBC 1,http://96.44.160.246:9999/smt.php?id=bbc1_antik
BBC 2,http://96.44.160.246:9999/smt.php?id=bbc2_antik
BBC CBeebies,http://96.44.160.246:9999/smt.php?id=Cbeebies
BBC Earth,http://96.44.160.246:9999/smt.php?id=bbcearth_twn
BBC Lifestyle,http://96.44.160.246:9999/smt.php?id=bbclifestyle_twn
Boomerang,http://96.44.160.246:9999/smt.php?id=Boomerang
CBBC,http://96.44.160.246:9999/smt.php?id=cbbc_antik
Channel 4,http://96.44.160.246:9999/smt.php?id=channel4_antik
Freesports,http://96.44.160.246:9999/smt.php?id=freesports_antik
Global Trekker,http://96.44.160.246:9999/smt.php?id=Natgeo
HBO,http://96.44.160.246:9999/smt.php?id=Hbo
HGTV,http://96.44.160.246:9999/smt.php?id=HGTV
History,http://96.44.160.246:9999/smt.php?id=History
Hits Movie,http://96.44.160.246:9999/smt.php?id=Hitsmovie
itv 1,http://96.44.160.246:9999/smt.php?id=itv1_antik
itv 2,http://96.44.160.246:9999/smt.php?id=itv2_antik
Kids TV,http://96.44.160.246:9999/smt.php?id=KidsTV
More4,http://96.44.160.246:9999/smt.php?id=more4_antik
NatGeo Wild,http://96.44.160.246:9999/smt.php?id=Natgeowild
Nick Jr,http://96.44.160.246:9999/smt.php?id=Nickjr
Nickelodeon,http://96.44.160.246:9999/smt.php?id=Nickelodeon
Pick TV,http://96.44.160.246:9999/smt.php?id=picktv_antik
Skysports Arena,http://96.44.160.246:9999/smt.php?id=tiankongarena
Skysports Cricket,http://96.44.160.246:9999/smt.php?id=tiankongcricket
Skysports F1,http://96.44.160.246:9999/smt.php?id=tiankongf1
