LINETV,#genre#
77 TVBS欢乐台,https://m.4gtv.tv/channel/4gtv-4gtv068?set=1&ch=184
78 韩国娱乐台 KMTV,https://m.4gtv.tv/channel/4gtv-4gtv016?set=1&ch=446
80 ROCK Entertainment,https://m.4gtv.tv/channel/4gtv-live080?set=1&ch=275
81 Lifetime 娱乐频道,https://m.4gtv.tv/channel/4gtv-live029?set=1&ch=217
82 电影原声台CMusic,https://m.4gtv.tv/channel/4gtv-live031?set=1&ch=218
83 TRACE Urban,https://m.4gtv.tv/channel/4gtv-4gtv082?set=1&ch=78
84 MTV Live HD 音乐频道,https://m.4gtv.tv/channel/4gtv-live025?set=1&ch=213
86 Mezzo Live HD,https://m.4gtv.tv/channel/4gtv-4gtv083?set=1&ch=79
87 CLASSICA 古典乐,https://m.4gtv.tv/channel/4gtv-4gtv059?set=1&ch=80
90 东森购物三台,https://m.4gtv.tv/channel/4gtv-live048?set=1&ch=287
96 INULTRA,https://m.4gtv.tv/channel/4gtv-live096?set=1&ch=444
104 TRACE Sport Stars,https://m.4gtv.tv/channel/4gtv-4gtv077?set=1&ch=57
105 智林体育台,https://m.4gtv.tv/channel/4gtv-4gtv101?set=1&ch=58
106 时尚运动X,https://m.4gtv.tv/channel/4gtv-4gtv014?set=1&ch=69
107 车迷TV,https://m.4gtv.tv/channel/4gtv-live201?set=1&ch=160
108 GINX Esports TV,https://m.4gtv.tv/channel/4gtv-4gtv053?set=1&ch=179
110 Pet Club TV,https://m.4gtv.tv/channel/4gtv-4gtv110?set=1&ch=464
111 民视旅游台,https://m.4gtv.tv/channel/litv-ftv07?set=1&ch=61
112 滚动力rollor,https://m.4gtv.tv/channel/4gtv-live012?set=1&ch=249
113 亚洲旅游台,https://m.4gtv.tv/channel/4gtv-4gtv076?set=1&ch=250
114 fun探索娱乐台,https://m.4gtv.tv/channel/4gtv-live011?set=1&ch=274
115 幸福空间居家台,https://m.4gtv.tv/channel/4gtv-live206?set=1&ch=168
116 Love Nature,https://m.4gtv.tv/channel/4gtv-live208?set=1&ch=139
117 History 历史频道,https://m.4gtv.tv/channel/4gtv-live026?set=1&ch=214
120 爱尔达生活旅游台,https://m.4gtv.tv/channel/4gtv-live120?set=1&ch=237
121 LUXE TV Channel,https://m.4gtv.tv/channel/4gtv-live121?set=1&ch=175
122 TV5MONDE STYLE HD 生活时尚,https://m.4gtv.tv/channel/4gtv-live122?set=1&ch=178
123 MagellanTV频道 (麦哲伦频道) ,https://m.4gtv.tv/channel/4gtv-live123?set=1&ch=450
125 公视戏剧,https://m.4gtv.tv/channel/4gtv-4gtv042?set=1&ch=7
126 民视影剧台,https://m.4gtv.tv/channel/litv-ftv09?set=1&ch=24
128 HITS频道,https://m.4gtv.tv/channel/4gtv-live620?set=1&ch=186
130 八大精彩台,https://m.4gtv.tv/channel/4gtv-4gtv034?set=1&ch=172
131 霹雳布袋戏,https://m.4gtv.tv/channel/4gtv-live145?set=1&ch=301
132 靖天戏剧台,https://m.4gtv.tv/channel/4gtv-4gtv058?set=1&ch=116
133 靖洋戏剧台,https://m.4gtv.tv/channel/4gtv-4gtv045?set=1&ch=118
134 CI 罪案侦查频道,https://m.4gtv.tv/channel/4gtv-live027?set=1&ch=215
135 视纳华仁纪实频道,https://m.4gtv.tv/channel/4gtv-4gtv013?set=1&ch=38
136 影迷数位纪实台,https://m.4gtv.tv/channel/litv-ftv15?set=1&ch=445
137 金光布袋戏,https://m.4gtv.tv/channel/4gtv-live144?set=1&ch=236
138 ROCK Action,https://m.4gtv.tv/channel/4gtv-live138?set=1&ch=180
145 采昌影剧台,https://m.4gtv.tv/channel/4gtv-4gtv049?set=1&ch=25
146 靖天映画,https://m.4gtv.tv/channel/4gtv-4gtv055?set=1&ch=42
147 靖天电影台,https://m.4gtv.tv/channel/4gtv-4gtv061?set=1&ch=82
152 迷数位电影台,https://m.4gtv.tv/channel/4gtv-4gtv011?set=1&ch=40
153 amc电影台,https://m.4gtv.tv/channel/4gtv-4gtv017?set=1&ch=39
154 CinemaWorld,https://m.4gtv.tv/channel/4gtv-live069?set=1&ch=225
157 My Cinema Europe HD 我的欧洲电影,https://m.4gtv.tv/channel/litv-ftv10?set=1&ch=463
160 好消息,https://m.4gtv.tv/channel/litv-ftv16?set=1&ch=9
161 好消息2台,https://m.4gtv.tv/channel/litv-ftv17?set=1&ch=8
163 大爱二台,https://m.4gtv.tv/channel/4gtv-live106?set=1&ch=230
164 人间卫视,https://m.4gtv.tv/channel/4gtv-live008?set=1&ch=210
168 NHK WORLD-JAPAN,https://m.4gtv.tv/channel/4gtv-live168?set=1&ch=461
169 FRANCE24 英文台,https://m.4gtv.tv/channel/4gtv-live146?set=1&ch=316
170 半岛国际新闻台,https://m.4gtv.tv/channel/4gtv-live157?set=1&ch=462
172 CNBC Asia 财经台,https://m.4gtv.tv/channel/4gtv-live130?set=1&ch=235
173 DW德国之声,https://m.4gtv.tv/channel/4gtv-live071?set=1&ch=226
185 国会频道1,https://m.4gtv.tv/channel/4gtv-4gtv084?set=1&ch=170
186 国会频道2,https://m.4gtv.tv/channel/4gtv-4gtv085?set=1&ch=171
199 TVBS综艺台,https://m.4gtv.tv/channel/4gtv-live087?set=1&ch=284
200 TVBS台剧台,https://m.4gtv.tv/channel/4gtv-live088?set=1&ch=285
201 经典电影台,https://m.4gtv.tv/channel/4gtv-live021?set=1&ch=201
202 经典卡通台,https://m.4gtv.tv/channel/4gtv-live022?set=1&ch=202
204 精选动漫台,https://m.4gtv.tv/channel/4gtv-live024?set=1&ch=204
205 戏剧免费看 1台,https://m.4gtv.tv/channel/4gtv-live010?set=1&ch=270
