=新闻=,#genre#
CCTV-7 军事农业,http://php.jdshipin.com:8880/smt.php?id=cctv7
CCTV-8 电视剧,http://php.jdshipin.com:8880/smt.php?id=cctv8hd
CCTV-9 记录,http://php.jdshipin.com:8880/smt.php?id=cctv9hd
CCTV-10 科教,http://php.jdshipin.com:8880/smt.php?id=cctv10hd
CCTV-11 戏曲,http://php.jdshipin.com:8880/smt.php?id=cctv11
CCTV-12 社会与法,http://php.jdshipin.com:8880/smt.php?id=cctv12
CCTV-13 新闻频道,http://php.jdshipin.com:8880/smt.php?id=cctv13
CCTV-14 少儿,http://php.jdshipin.com:8880/smt.php?id=cctv14
CCTV-15 音乐,http://php.jdshipin.com:8880/smt.php?id=cctv15
CCTV-17 农村,http://php.jdshipin.com:8880/smt.php?id=cctv17
北京卫视,http://php.jdshipin.com:8880/smt.php?id=beijing
东方卫视,http://php.jdshipin.com:8880/smt.php?id=dongfangweishi_twn
东南卫视,http://php.jdshipin.com:8880/smt.php?id=fujian
广东卫视,http://php.jdshipin.com:8880/smt.php?id=guangdongweishi_twn
广西卫视,http://php.jdshipin.com:8880/smt.php?id=guangxi
湖北卫视,http://php.jdshipin.com:8880/smt.php?id=hubei
湖南卫视,http://php.jdshipin.com:8880/smt.php?id=hunan_twn
江苏卫视,http://php.jdshipin.com:8880/smt.php?id=jiangsu_twn
深圳卫视,http://php.jdshipin.com:8880/smt.php?id=shenzhen
四川卫视,http://php.jdshipin.com:8880/smt.php?id=sichuan_twn
浙江卫视,http://php.jdshipin.com:8880/smt.php?id=zhejiang_twn
大湾区卫视,http://php.jdshipin.com:8880/smt.php?id=nanfang_twn
珠江,http://php.jdshipin.com:8880/smt.php?id=zhujiang


=运动=,#genre#
Astro Cricket,http://php.jdshipin.com:8880/smt.php?id=Acricket_mega
Astro Golf,http://php.jdshipin.com:8880/smt.php?id=Agolf
Bein 1 Sports,http://php.jdshipin.com:8880/smt.php?id=bein1_mega
Bein 2 Sports,http://php.jdshipin.com:8880/smt.php?id=bein2_mega
Bein 2 HD,http://php.jdshipin.com:8880/smt.php?id=Beinhd
Bein 3 Sports,http://php.jdshipin.com:8880/smt.php?id=bein3_mega
Bein 4 Sports,http://php.jdshipin.com:8880/smt.php?id=bein4_mega
Bein 5 Sports,http://php.jdshipin.com:8880/smt.php?id=bein5_mega
Bein 6 Sports,http://php.jdshipin.com:8880/smt.php?id=bein6_mega
Bein 7 Sports,http://php.jdshipin.com:8880/smt.php?id=bein7_mega
Beinsports,http://php.jdshipin.com:8880/smt.php?id=Besports
Champion 5 EPL,http://php.jdshipin.com:8880/smt.php?id=Champion5epl
Champion 6 EPL,http://php.jdshipin.com:8880/smt.php?id=Champion6epl
NBA TV,http://php.jdshipin.com:8880/smt.php?id=nbatv_twn
Rugby Pass TV,http://php.jdshipin.com:8880/smt.php?id=Rugbypasstv
Skysports Mix,http://php.jdshipin.com:8880/smt.php?id=tiankongmix
Skysports NFL,http://php.jdshipin.com:8880/smt.php?id=tiankongnfl
Skysports Racing,http://php.jdshipin.com:8880/smt.php?id=tiankongracing
Sony Ten 1,http://php.jdshipin.com:8880/smt.php?id=ten1_raj
Sony Ten 2,http://php.jdshipin.com:8880/smt.php?id=ten2_raj
Sony Ten 3,http://php.jdshipin.com:8880/smt.php?id=ten3_raj
SPO TV 2,http://php.jdshipin.com:8880/smt.php?id=go_spotv2
SPOTV 1,http://php.jdshipin.com:8880/smt.php?id=go_spotv
Supersportq 1,http://php.jdshipin.com:8880/smt.php?id=Assp1_mega
Supersports 1,http://php.jdshipin.com:8880/smt.php?id=go_assp1
Supersports 1,http://php.jdshipin.com:8880/smt.php?id=Assp1
Supersports 2,http://php.jdshipin.com:8880/smt.php?id=go_assp2
Supersports 2,http://php.jdshipin.com:8880/smt.php?id=Assp2
Supersports 3,http://php.jdshipin.com:8880/smt.php?id=go_assp3
Supersports 3,http://php.jdshipin.com:8880/smt.php?id=Assp3_mega
Supersports 3,http://php.jdshipin.com:8880/smt.php?id=Assp3
Supersports 4,http://php.jdshipin.com:8880/smt.php?id=go_assp4
Supersports 4,http://php.jdshipin.com:8880/smt.php?id=Assp4_mega
Supersports 5,http://php.jdshipin.com:8880/smt.php?id=go_assp5
TNT Sports 1,http://php.jdshipin.com:8880/smt.php?id=beeone
TNT Sports 2,http://php.jdshipin.com:8880/smt.php?id=beetwo
TNT Sports 3,http://php.jdshipin.com:8880/smt.php?id=beethree
TNT Sports 4,http://php.jdshipin.com:8880/smt.php?id=beefour
UFC Network,http://php.jdshipin.com:8880/smt.php?id=ufc_mega
WWE,http://php.jdshipin.com:8880/smt.php?id=Wwe
